GEOID,Income,year
04000US08,55930,2009
04000US09,64851,2009
04000US10,52114,2009
04000US12,45631,2009
04000US13,43340,2009
04000US15,55649,2009
04000US16,46778,2009
04000US17,52870,2009
04000US18,44305,2009
04000US19,50721,2009
04000US20,44717,2009
04000US21,42664,2009
04000US22,45433,2009
04000US23,47502,2009
04000US24,64186,2009
04000US25,59373,2009
04000US26,45994,2009
04000US27,56090,2009
04000US28,35078,2009
04000US29,48769,2009
04000US30,40437,2009
04000US31,49595,2009
04000US32,51434,2009
04000US33,64131,2009
04000US34,64777,2009
04000US35,43542,2009
04000US36,50216,2009
04000US37,41906,2009
04000US38,50075,2009
04000US39,45879,2009
04000US40,45878,2009
04000US41,49098,2009
04000US42,48172,2009
04000US44,51634,2009
04000US45,41101,2009
04000US46,45826,2009
04000US47,40517,2009
04000US48,47475,2009
04000US49,58491,2009
04000US50,52318,2009
04000US51,60501,2009
04000US53,60392,2009
04000US54,40490,2009
04000US55,51237,2009
04000US56,52470,2009
04000US01,44476,2008
04000US02,63989,2008
04000US04,46914,2008
04000US05,39586,2008
04000US06,57014,2008
04000US08,60943,2008
04000US09,64682,2008
04000US10,50702,2008
04000US12,44857,2008
04000US13,46227,2008
04000US15,61521,2008
04000US16,47420,2008
04000US17,53254,2008
04000US18,46520,2008
04000US19,50142,2008
04000US20,47877,2008
04000US21,41148,2008
04000US22,39563,2008
04000US23,47228,2008
04000US24,63711,2008
04000US25,60320,2008
04000US26,49788,2008
04000US27,54925,2008
04000US28,36446,2008
04000US29,46038,2008
04000US30,42900,2008
04000US31,50728,2008
04000US32,54744,2008
04000US33,66176,2008
04000US34,65306,2008
04000US35,42102,2008
04000US36,50461,2008
04000US37,42930,2008
04000US38,49631,2008
04000US39,46934,2008
04000US40,46111,2008
04000US41,51727,2008
04000US42,51402,2008
04000US44,53241,2008
04000US45,42155,2008
04000US46,51600,2008
04000US47,39702,2008
04000US48,46490,2008
04000US49,62537,2008
04000US50,50706,2008
04000US51,61985,2008
04000US53,56631,2008
04000US54,37994,2008
04000US55,51200,2008
04000US56,53337,2008
04000US01,31939,1997
04000US02,47994,1997
04000US04,32740,1997
04000US05,26162,1997
04000US06,39694,1997
04000US08,43233,1997
04000US09,43985,1997
04000US10,43033,1997
04000US12,32455,1997
04000US13,36663,1997
04000US15,40934,1997
04000US16,33404,1997
04000US17,41283,1997
04000US18,38889,1997
04000US19,33783,1997
04000US20,36471,1997
04000US21,33452,1997
04000US22,33260,1997
04000US23,32772,1997
04000US24,46685,1997
04000US25,42023,1997
04000US26,38742,1997
04000US27,42564,1997
04000US28,28499,1997
04000US29,36553,1997
04000US30,29212,1997
04000US31,34692,1997
04000US32,38854,1997
04000US33,40998,1997
04000US34,48021,1997
04000US35,30086,1997
04000US36,35798,1997
04000US37,35840,1997
04000US38,31661,1997
04000US39,36134,1997
04000US40,31351,1997
04000US41,37247,1997
04000US42,37517,1997
04000US44,34797,1997
04000US45,34262,1997
04000US46,29694,1997
04000US47,30636,1997
04000US48,35075,1997
04000US49,42775,1997
04000US50,35053,1997
04000US51,42957,1997
04000US53,44562,1997
04000US54,27488,1997
04000US55,39595,1997
04000US56,33423,1997
04000US01,30302,1996
04000US02,52779,1996
04000US04,31637,1996
04000US05,27123,1996
04000US06,38812,1996
04000US08,40950,1996
04000US09,42119,1996
04000US10,39309,1996
04000US12,30641,1996
04000US13,32496,1996
04000US15,41772,1996
04000US16,34709,1996
04000US17,39554,1996
04000US18,35147,1996
04000US19,33209,1996
04000US20,32585,1996
04000US21,32413,1996
04000US22,30262,1996
04000US23,34696,1996
04000US24,43993,1996
04000US25,39494,1996
04000US26,39225,1996
04000US27,40991,1996
04000US28,26677,1996
04000US29,34265,1996
04000US30,28684,1996
04000US31,34014,1996
04000US32,38540,1996
04000US33,39407,1996
04000US34,47468,1996
04000US35,25086,1996
04000US36,35410,1996
04000US37,35601,1996
04000US38,31470,1996
04000US39,34070,1996
04000US40,27437,1996
04000US41,35492,1996
04000US42,34899,1996
04000US44,36986,1996
04000US45,34665,1996
04000US46,29526,1996
04000US47,30790,1996
04000US48,33072,1996
04000US49,37038,1996
04000US50,32358,1996
04000US51,39211,1996
04000US53,36676,1996
04000US54,25247,1996
04000US55,40001,1996
04000US56,30953,1996
04000US01,27196,1994
04000US02,45367,1994
04000US04,31293,1994
04000US05,25565,1994
04000US06,35331,1994
04000US08,37833,1994
04000US09,41097,1994
04000US10,35873,1994
04000US12,29294,1994
04000US13,31467,1994
04000US15,42255,1994
04000US16,31536,1994
04000US17,35081,1994
04000US18,27858,1994
04000US19,33079,1994
04000US20,28322,1994
04000US21,26595,1994
04000US22,25676,1994
04000US23,30316,1994
04000US24,39198,1994
04000US25,40500,1994
04000US26,35284,1994
04000US27,33644,1994
04000US28,25400,1994
04000US29,30190,1994
04000US30,27631,1994
04000US31,31794,1994
04000US32,35871,1994
04000US33,35245,1994
04000US34,42280,1994
04000US35,26905,1994
04000US36,31899,1994
04000US37,30114,1994
04000US38,28278,1994
04000US39,31855,1994
04000US40,26991,1994
04000US41,31456,1994
04000US42,32066,1994
04000US44,31928,1994
04000US45,29846,1994
04000US46,29733,1994
04000US47,28639,1994
04000US48,30755,1994
04000US49,35716,1994
04000US50,35802,1994
04000US51,37647,1994
04000US53,33533,1994
04000US54,23564,1994
04000US55,35388,1994
04000US56,33140,1994
04000US01,25991,1995
04000US02,47954,1995
04000US04,30863,1995
04000US05,25814,1995
04000US06,37009,1995
04000US08,40706,1995
04000US09,40243,1995
04000US10,34928,1995
04000US12,29745,1995
04000US13,34099,1995
04000US15,42851,1995
04000US16,32676,1995
04000US17,38071,1995
04000US18,33385,1995
04000US19,35519,1995
04000US20,30341,1995
04000US21,29810,1995
